,actual,predicted,error,abs_error
0,-0.8585893174666098,-0.48051247,-0.3780768474596671,0.3780768474596671
1,-0.797702451620412,-0.6481236,-0.14957882967979919,0.14957882967979919
2,-0.8844178534673809,-0.50965714,-0.3747607089208721,0.3747607089208721
3,0.5361888434856853,-0.32846346,0.8646523084610424,0.8646523084610424
4,2.0661760408800562,0.9280731,1.1381029326837977,1.1381029326837977
5,0.5588167251693575,0.8918218,-0.3330050764930875,0.3330050764930875
6,1.2383975138928123,0.16926391,1.0691335996653266,1.0691335996653266
7,1.187559213925877,0.49126196,0.6962972548499493,0.6962972548499493
8,1.2153230292811725,0.6356695,0.5796534998431537,0.5796534998431537
9,0.6106226648135554,0.59199035,0.01863231313661451,0.01863231313661451
10,0.3423631727479112,-0.071874924,0.41423809675198914,0.41423809675198914
11,0.39282930360820734,-0.31152445,0.7043537543871685,0.7043537543871685
12,0.3926432190548874,-0.3758158,0.7684590278279282,0.7684590278279282
13,0.42643617393774047,-0.41781047,0.8442466438035394,0.8442466438035394
14,-0.3524393324370928,-0.25870612,-0.09373320980029776,0.09373320980029776
15,-0.4208440142374055,-0.5851723,0.16432828133296806,0.16432828133296806
16,0.07603896003679185,0.06549235,0.01054661315397172,0.01054661315397172
17,1.149523531227335,0.48999482,0.6595287072946874,0.6595287072946874
18,0.19610071383864633,0.3122821,-0.11618137158005484,0.11618137158005484
19,1.1049376722519408,-0.55474734,1.6596850153152953,1.6596850153152953
20,-0.28831459536313264,0.2949847,-0.5832992936587259,0.5832992936587259
21,-0.8592592218585606,-0.8163962,-0.04286304504352767,0.04286304504352767
22,-0.8469032075181342,-0.88200265,0.035099444173302574,0.035099444173302574
23,-0.8955084928452335,-0.8538817,-0.041626776117023034,0.041626776117023034
24,-0.8897398716923235,-0.68068975,-0.2090501195904253,0.2090501195904253
25,-0.8394226084746833,-0.6351631,-0.20425948009867623,0.20425948009867623
26,-0.8171296789869862,-0.54571813,-0.27141154553743174,0.27141154553743174
27,0.06018455609395527,-0.29894912,0.35913367852284933,0.35913367852284933
28,0.9769114995680044,0.21652538,0.7603861237249563,0.7603861237249563
29,1.0862920000093097,0.5900396,0.49625238914657777,0.49625238914657777
30,0.9485894305527497,0.5857709,0.3628185255348969,0.3628185255348969
31,1.734573366864395,0.584977,1.1495963957149504,1.1495963957149504
32,0.4620527574431264,0.5579605,-0.09590775281077984,0.09590775281077984
33,3.165414714250043,-0.4158593,3.5812740260691194,3.5812740260691194
34,2.4371542063781617,0.92367417,1.5134800401756165,1.5134800401756165
35,3.444318242765572,1.1488501,2.295468159414437,2.295468159414437
36,1.023507071719251,1.6438872,-0.6203800904893062,0.6203800904893062
37,0.5744850445588743,0.12618919,0.44829585738979927,0.44829585738979927
38,0.5475772181488492,0.22195476,0.32562245521321076,0.32562245521321076
39,0.5303830054221111,-0.0043464974,0.5347295027790028,0.5347295027790028
40,0.4902259588157251,0.20416087,0.2860650896941736,0.2860650896941736
41,0.5567325781721775,0.061642744,0.49508983452507893,0.49508983452507893
42,0.6153864293785392,-0.18299982,0.7983862488956748,0.7983862488956748
43,0.5189574138482833,-0.09523443,0.6141918451746726,0.6141918451746726
44,0.5522293319818413,-0.07344749,0.6256768202301896,0.6256768202301896
45,0.5644736955902758,-0.532532,1.097005672290105,1.097005672290105
46,-0.10818474774968684,-0.16097409,0.0527893375812763,0.0527893375812763
47,-0.6462668421288602,-0.5977073,-0.048559570552932474,0.048559570552932474
48,-0.620028920110786,-0.6036243,-0.016404635843360493,0.016404635843360493
49,-0.6744400435014589,-0.5057636,-0.16867645316561297,0.16867645316561297
50,-0.6592927608612374,-0.51190525,-0.14738750792773525,0.14738750792773525
51,-0.6787572051384756,-0.4882916,-0.19046561373260706,0.19046561373260706
52,-0.6757054184640329,-0.35228506,-0.3234203611577432,0.3234203611577432
53,-0.6732863192708771,-0.3837373,-0.28954902340486455,0.28954902340486455
54,-0.7107265313987957,-0.33845168,-0.37227484787752496,0.37227484787752496
55,-0.6260208427276795,-0.41326228,-0.21275856488611156,0.21275856488611156
56,0.39219661612692047,-0.37676227,0.7689588870543497,0.7689588870543497
57,0.34660590056359986,0.09651626,0.2500896415489934,0.2500896415489934
58,0.4648068088322575,0.17533268,0.2894741284876759,0.2894741284876759
59,0.5983038673837928,-0.11353027,0.7118341381390838,0.7118341381390838
60,0.8529791870571009,-0.079219915,0.932199102029883,0.932199102029883
61,0.7606068147892137,0.11265061,0.6479562042826791,0.6479562042826791
62,0.9909050579776439,0.22348362,0.7674214359035167,0.7674214359035167
63,0.878621638504552,0.6879756,0.19064605304388915,0.19064605304388915
64,1.4580145037206929,0.43497458,1.0230399227175038,1.0230399227175038
65,1.2918782145168868,0.6094884,0.6823897868778792,0.6823897868778792
66,0.18479686571834603,-0.020544514,0.20534137977836647,0.20534137977836647
67,-0.23941157475072197,-0.54089826,0.3014866887037153,0.3014866887037153
68,-0.24369151947707443,-0.84776306,0.604071542046363,0.604071542046363
69,-0.5803556933430313,-0.81224227,0.23188657617295994,0.23188657617295994
70,-0.895806228130545,-0.8006801,-0.09512612721272884,0.09512612721272884
71,-0.8781654124758397,-0.81141824,-0.06674717717386824,0.06674717717386824
72,-0.8150827489004697,-0.6637495,-0.1513332328901853,0.1513332328901853
73,-0.8370779431028554,-0.6880728,-0.14900514246656393,0.14900514246656393
74,-0.8863531328219054,-0.3249555,-0.5613976396101592,0.5613976396101592
75,-0.05340145525237424,-0.15661398,0.10321252051094668,0.10321252051094668
76,2.0323830859972034,0.7247556,1.3076275008035694,1.3076275008035694
77,0.37262052111769056,0.6840842,-0.31146365589952135,0.31146365589952135
78,0.3285556988915913,0.1318026,0.19675309528918195,0.19675309528918195
79,0.3712062785124607,0.047284614,0.3239216642176933,0.3239216642176933
80,0.33250069142196825,-0.080853455,0.41335414619062594,0.41335414619062594
81,0.3485411799181245,-0.13169539,0.48023656966574413,0.48023656966574413
82,0.3509974960219442,-0.2948149,0.6458124104868948,0.6458124104868948
83,0.39703481451323175,-0.21846995,0.6155047620897546,0.6155047620897546
84,-0.37093613703706846,-0.2553937,-0.1155424233243762,0.1155424233243762
85,-0.8047364477358957,-0.6550432,-0.14969326297866303,0.14969326297866303
86,-0.6094593174822285,-0.6512071,0.04174777194190482,0.04174777194190482
87,0.4777210768326431,-0.34818974,0.8259108182057052,0.8259108182057052
88,2.700947669164133,0.8334206,1.8675270944990636,1.8675270944990636
89,3.941945555253049,1.2394956,2.702449920220395,2.702449920220395
90,2.975236300757335,1.3401715,1.6350648444203597,1.6350648444203597
91,1.7876074645605025,0.964192,0.8234154913511214,0.8234154913511214
92,0.15665078853487527,0.4181483,-0.2614975204575106,0.2614975204575106
93,-0.797702451620412,-0.7393194,-0.058383067522359,0.058383067522359
94,-0.7841927130494035,-0.76999664,-0.014196069982997273,0.014196069982997273
95,-0.771352878870346,-0.7419368,-0.029416076006271275,0.029416076006271275
96,-0.7922315657528136,-0.59468913,-0.19754243496973256,0.19754243496973256
97,-0.724347920701796,-0.61671126,-0.10763666181355136,0.10763666181355136
98,-0.7488738648293293,-0.46297744,-0.2858964256642139,0.2858964256642139
99,-0.1042769721299736,0.07250364,-0.17678061337772294,0.17678061337772294
100,1.5764387134533342,1.2222149,0.3542237762432512,0.3542237762432512
101,1.5322994574059077,0.6491712,0.8831282838333674,0.8831282838333674
102,1.0216462261860544,0.51886296,0.5027832634632761,0.5027832634632761
103,0.5177292557963733,0.24814215,0.26958710277169984,0.26958710277169984
104,0.6299754583588015,0.19381586,0.4361596011867892,0.4361596011867892
105,0.3726577380283545,0.23186094,0.1407968023403357,0.1407968023403357
106,1.1979427320011145,-0.17650041,1.374443141842652,1.374443141842652
107,0.7942136851187468,0.7169836,0.0772300687666655,0.0772300687666655
108,0.5076062560957831,0.21942586,0.288180399028675,0.288180399028675
109,-0.4024960772800854,-0.06954365,-0.33295242504362377,0.33295242504362377
110,-0.3992209891416592,-0.58779645,0.18857546051959567,0.18857546051959567
111,-0.3147386019345266,-0.0696938,-0.24504480559787573,0.24504480559787573
112,1.2787034281418537,0.40544358,0.8732598491833423,0.8732598491833423
113,0.7265905584423771,1.1883746,-0.461784080115057,0.461784080115057
114,1.0250329650564722,0.7296864,0.295346585623794,0.295346585623794
115,-0.372313162731634,-0.04069858,-0.3316145822877749,0.3316145822877749
116,-0.6974400942917709,-0.79048204,0.09304194992819981,0.09304194992819981
117,-0.7349175233303537,-0.8732949,0.13837736659655675,0.13837736659655675
118,-0.7893286467210266,-0.811033,0.021704363761761436,0.021704363761761436
119,-0.7933108561620676,-0.6950182,-0.09829268389796852,0.09829268389796852
120,-0.7854208711013135,-0.52684355,-0.2585773232802686,0.2585773232802686
121,-0.7586619123339442,-0.58398855,-0.17467336500880992,0.17467336500880992
122,-0.06337558731030898,-0.23835593,0.17498034730959458,0.17498034730959458
123,-0.32065609073009227,0.51738214,-0.8380382356580708,0.8380382356580708
124,0.3447822719410672,0.3603571,-0.015574833790896914,0.015574833790896914
125,1.3044575303212973,0.55080694,0.7536505907193991,0.7536505907193991
126,1.4995485760216445,0.47676122,1.0227873541359633,1.0227873541359633
127,0.7300517311341229,0.46770534,0.2623463919407788,0.2623463919407788
128,0.6072731428538012,0.14754617,0.4597269707117724,0.4597269707117724
129,3.3170364082949146,-0.08623918,3.4032755897538647,3.4032755897538647
130,1.0350815309357346,0.41980654,0.615274990923375,0.615274990923375
131,0.6404706271660313,0.0021006241,0.638370003021954,0.638370003021954
132,0.8554727200715844,0.03719755,0.8182751711755101,0.8182751711755101
133,-0.50648012567512,-0.28047243,-0.22600769806853738,0.22600769806853738
134,0.2599649325379588,-0.38757733,0.6475422576436259,0.6475422576436259
135,1.2080657317017052,0.6937269,0.5143388344620201,0.5143388344620201
136,0.874416127599527,0.82757753,0.04683859626178899,0.04683859626178899
137,2.3558724734881267,0.6957797,1.6600927922823772,1.6600927922823772
138,0.39830018947580564,0.72487766,-0.3265774660303284,0.3265774660303284
139,-0.8124031313326665,-0.72697586,-0.08542727312114917,0.08542727312114917
140,-0.8158643040244123,-0.9089585,0.09309419063882618,0.09309419063882618
141,-0.8043642786292564,-0.8965139,0.0921496006699074,0.0921496006699074
142,-0.8722851405909379,-0.8086618,-0.06362332208660437,0.06362332208660437
143,-0.157943757307368,-0.7710246,0.6130808274628347,0.6130808274628347
144,-0.863650817316905,-0.4868562,-0.3767946249665174,0.3767946249665174
145,-0.8872835555885038,-0.6222583,-0.2650252500388822,0.2650252500388822
146,-0.8859809637152661,-0.4516972,-0.43428376317853823,0.43428376317853823
147,-0.05783026762138252,-0.060386695,0.002556427346364215,0.002556427346364215
148,1.4456212724696027,1.0534283,0.3921929801951276,0.3921929801951276
149,0.8698756644985269,0.59460574,0.27526992061348665,0.27526992061348665
150,0.3233825483093044,0.5032432,-0.17986065962221415,0.17986065962221415
151,0.3425864742118948,0.017159127,0.325427347512924,0.325427347512924
152,0.34307029405052614,-0.117943905,0.46101419934446763,0.46101419934446763
153,0.41099115601220765,-0.24489307,0.6558842300478522,0.6558842300478522
154,1.3642651057582407,-0.19199765,1.556262753043702,1.556262753043702
155,1.015505435926505,0.23281413,0.7826913027592381,0.7826913027592381
156,0.5289687628168818,0.339603,0.18936575597712957,0.18936575597712957
157,0.14544849842503083,-0.013985865,0.159434363243127,0.159434363243127
158,-0.8420650091318227,-0.43137273,-0.4106922772077657,0.4106922772077657
159,-0.10490965961126054,-0.66729224,0.5623825776705388,0.5623825776705388
160,2.026800549397613,0.38712046,1.6396800938941491,1.6396800938941491
161,1.5698513202658182,1.1674249,0.40242640304474886,0.40242640304474886
162,0.08139819517239841,0.73757833,-0.6561801372517654,0.6561801372517654
163,-0.5703815612850966,-0.66342056,0.0930389966906724,0.0930389966906724
164,-0.8304905499153389,-0.8992412,0.06875065911481248,0.06875065911481248
165,-0.8359986526936012,-0.8478307,0.011832060101656383,0.011832060101656383
166,-0.8101328997821664,-0.8013907,-0.008742192289338035,0.008742192289338035
167,-0.8707592472537167,-0.7769244,-0.09383487553435632,0.09383487553435632
168,-0.5573928594633832,-0.53228664,-0.025106215481449645,0.025106215481449645
169,-0.4848571005793737,-0.544255,0.05939791765487923,0.05939791765487923
170,-0.8834129968794546,-0.4284043,-0.4550086954745016,0.4550086954745016
171,-0.5096063461708905,-0.23553449,-0.27407185701607484,0.27407185701607484
172,1.8251965443310767,0.26813155,1.5570649902043372,1.5570649902043372
173,1.1025930068801129,1.0219278,0.08066517332298395,0.08066517332298395
174,1.3457310842476011,0.5048009,0.8409301685295225,0.8409301685295225
175,0.5658879381955052,0.52521306,0.04067487543229109,0.04067487543229109
176,1.125667491491753,0.08382329,1.0418441980442585,1.0418441980442585
177,0.23112182677340937,0.23743281,-0.006310980910535335,0.006310980910535335
178,-0.7974791501564285,-0.2950768,-0.5024023626846572,0.5024023626846572
179,-0.33669657922624824,-0.8494989,0.512802348366983,0.512802348366983
180,-0.8619016225157001,-0.2735973,-0.5883043224630573,0.5883043224630573
181,0.44273718080854424,-0.7654752,1.2082123943362237,1.2082123943362237
182,0.22416226447925353,-0.14667901,0.37084127844676756,0.37084127844676756
183,-0.43759162403617613,-0.4207221,-0.016869526877744123,0.016869526877744123
